SVAMITVA Property Card ID,Linked Land Record Parcel ID,Survey / Gat / Property No.,State,District,Tehsil / Taluka,Village,Owner Name,Father / Spouse Name,Owner Type,Total Area (sq m),Land / Property Type,Property Card Status,Property Card Prepared Date,Distribution Date,Drone Survey Status,Drone Survey Date,Ortho Image Status,Vector Data Status,DEM Data Status,Parcel Digitisation Status,Cadastral / Parcel Geometry WKT,Record Source,Record Date / Last Updated,Verification Status,Survey Completed,Ground Truthing Status,CORS / Control Point Status,Property Card Prepared,Objection Received,Objection Date,Objection Disposed,Objection Disposal Date,Card Ready for Distribution,Property Card Distributed,Latitude,Longitude,Notified Village,Drone Flying Completed,Data Processing Completed,Data Processing Status,Ortho Data Received,Vector Data Received,Property Cards Prepared,Property Cards Distributed,Feature Extraction Status,Ground Verification Date
SVPC-MH-0006057,MH-DEMO-00009,SV-08-10-0057,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 07,Vivek Verma,Sanjay Deshpande,Individual,40.3,Commercial,Distributed,2024-05-28,,Completed,2024-05-01,Received,Received,Received,Digitised,"POLYGON((20.079570 77.759570,20.080430 77.759570,20.080430 77.760430,20.079570 77.760430,20.079570 77.759570))",Synthetic SVAMITVA Demo Dataset,2026-03-19,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75957,20.07957,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-05-08
SVPC-MH-0006058,MH-DEMO-00010,SV-08-10-0058,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 08,Arjun Bhosale,Vivek Kharat,Individual,43.2,Open Plot,Under Verification,2024-06-01,,Completed,2024-05-04,Received,Received,Available,Digitised,"POLYGON((20.079530 77.759530,20.080470 77.759530,20.080470 77.760470,20.079530 77.760470,20.079530 77.759530))",Synthetic SVAMITVA Demo Dataset,2026-03-20,Synthetic - Not Government Verified,Yes,In Progress,Available,No,Yes,2024-05-16,Yes,2024-05-29,No,Yes,77.75953,20.07953,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,
SVPC-MH-0006059,MH-DEMO-00011,SV-08-10-0059,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 09,Manish Dhole,Mahesh Sawant,Individual,46.1,Other Abadi Property,Digitisation Completed,2024-06-05,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((20.079490 77.759490,20.080510 77.759490,20.080510 77.760510,20.079490 77.760510,20.079490 77.759490))",Synthetic SVAMITVA Demo Dataset,2026-03-21,Synthetic - Not Government Verified,No,Pending,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75949,20.07949,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,
SVPC-MH-0006060,MH-DEMO-00012,SV-08-10-0060,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 10,Priya Deshmukh,Sachin Shinde,Individual,49.0,Residential Abadi,Prepared,2024-06-09,,Completed,2024-05-10,Received,Received,Received,Under Processing,"POLYGON((20.079650 77.759650,20.080350 77.759650,20.080350 77.760350,20.079650 77.760350,20.079650 77.759650))",Synthetic SVAMITVA Demo Dataset,2026-03-22,Synthetic - Not Government Verified,Yes,Completed,Pending,Yes,No,,Not Applicable,,Yes,No,77.75965,20.07965,Yes,Yes,Yes,Completed,Yes,Yes,Yes,No,Completed,2024-05-17
SVPC-MH-0006061,MH-DEMO-00013,SV-08-10-0061,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 01,Seema Joshi,Vinod Ingale,Individual,51.9,Mixed Residential,Distributed,2024-06-13,,Completed,2024-05-13,Received,Received,Received,Digitised,"POLYGON((20.079610 77.759610,20.080390 77.759610,20.080390 77.760390,20.079610 77.760390,20.079610 77.759610))",Synthetic SVAMITVA Demo Dataset,2026-03-23,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75961,20.07961,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-05-20
SVPC-MH-0006062,MH-DEMO-00014,SV-08-10-0062,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 02,Tanmay Borkar,Kiran Chavan,Individual,54.8,Institutional,Under Verification,2024-06-17,,Completed,2024-05-16,Received,Received,Available,Digitised,"POLYGON((20.079570 77.759570,20.080430 77.759570,20.080430 77.760430,20.079570 77.760430,20.079570 77.759570))",Synthetic SVAMITVA Demo Dataset,2026-03-24,Synthetic - Not Government Verified,Yes,Completed,Available,No,No,,Not Applicable,,No,Yes,77.75957,20.07957,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,2024-05-23
SVPC-MH-0006063,MH-DEMO-00015,SV-08-10-0063,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 03,Aditi Shinde,Rohit Salve,Individual,57.7,Commercial,Digitisation Completed,2024-06-21,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((20.079530 77.759530,20.080470 77.759530,20.080470 77.760470,20.079530 77.760470,20.079530 77.759530))",Synthetic SVAMITVA Demo Dataset,2026-03-25,Synthetic - Not Government Verified,No,In Progress,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75953,20.07953,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,
SVPC-MH-0006064,MH-DEMO-00016,SV-08-10-0064,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 04,Deepak Wagh,Vikas Joshi,Individual,60.6,Open Plot,Prepared,2024-06-25,,Completed,2024-05-22,Received,Received,Received,Digitised,"POLYGON((20.079490 77.759490,20.080510 77.759490,20.080510 77.760510,20.079490 77.760510,20.079490 77.759490))",Synthetic SVAMITVA Demo Dataset,2026-03-26,Synthetic - Not Government Verified,Yes,Pending,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75949,20.07949,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0006065,MH-DEMO-00017,SV-08-10-0065,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 05,Mohan Yadav,Gaurav Raut,Individual,63.5,Other Abadi Property,Distributed,2024-06-29,,Completed,2024-05-25,Received,Received,Received,Digitised,"POLYGON((20.079650 77.759650,20.080350 77.759650,20.080350 77.760350,20.079650 77.760350,20.079650 77.759650))",Synthetic SVAMITVA Demo Dataset,2026-03-27,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,No,77.75965,20.07965,Yes,Yes,Yes,Completed,Yes,Yes,Yes,No,Completed,2024-06-01
SVPC-MH-0006066,MH-DEMO-00018,SV-08-10-0066,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 06,Rajesh More,Ramesh Mane,Individual,66.4,Residential Abadi,Under Verification,2024-07-03,,Completed,2024-05-28,Received,Received,Available,Under Processing,"POLYGON((20.079610 77.759610,20.080390 77.759610,20.080390 77.760390,20.079610 77.760390,20.079610 77.759610))",Synthetic SVAMITVA Demo Dataset,2026-03-28,Synthetic - Not Government Verified,Yes,Completed,Pending,No,No,,Not Applicable,,No,Yes,77.75961,20.07961,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,2024-06-04
SVPC-MH-0006067,MH-DEMO-00019,SV-08-10-0067,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 07,Sneha Gawande,Vijay Jadhav,Individual,69.3,Mixed Residential,Digitisation Completed,2024-07-07,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((20.079570 77.759570,20.080430 77.759570,20.080430 77.760430,20.079570 77.760430,20.079570 77.759570))",Synthetic SVAMITVA Demo Dataset,2026-03-29,Synthetic - Not Government Verified,No,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75957,20.07957,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,2024-06-07
SVPC-MH-0006068,MH-DEMO-00020,SV-08-10-0068,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 08,Vijay Raut,Dhananjay Dhole,Individual,72.2,Institutional,Prepared,2024-07-11,,Completed,2024-06-03,Received,Received,Received,Digitised,"POLYGON((20.079530 77.759530,20.080470 77.759530,20.080470 77.760470,20.079530 77.760470,20.079530 77.759530))",Synthetic SVAMITVA Demo Dataset,2026-03-30,Synthetic - Not Government Verified,Yes,In Progress,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75953,20.07953,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0006069,MH-DEMO-00021,SV-08-10-0069,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 09,Amit Kadam,Rajesh More,Individual,75.1,Commercial,Distributed,2024-07-15,,Completed,2024-06-06,Received,Received,Received,Digitised,"POLYGON((20.079490 77.759490,20.080510 77.759490,20.080510 77.760510,20.079490 77.760510,20.079490 77.759490))",Synthetic SVAMITVA Demo Dataset,2026-03-31,Synthetic - Not Government Verified,Yes,Pending,Available,Yes,No,,Not Applicable,,No,Yes,77.75949,20.07949,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0006070,MH-DEMO-00022,SV-08-10-0070,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 10,Gaurav Ingale,Vaishnavi Mhatre,Individual,78.0,Open Plot,Under Verification,2024-07-19,,Completed,2024-06-09,Received,Received,Available,Digitised,"POLYGON((20.079650 77.759650,20.080350 77.759650,20.080350 77.760350,20.079650 77.760350,20.079650 77.759650))",Synthetic SVAMITVA Demo Dataset,2026-04-01,Synthetic - Not Government Verified,Yes,Completed,Available,No,No,,Not Applicable,,No,No,77.75965,20.07965,Yes,Yes,Yes,Completed,Yes,Yes,No,No,Completed,2024-06-16
SVPC-MH-0006071,MH-DEMO-00023,SV-08-10-0071,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 01,Nikhil Patil,Deepak Kulkarni,Individual,80.9,Other Abadi Property,Digitisation Completed,2024-07-23,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((20.079610 77.759610,20.080390 77.759610,20.080390 77.760390,20.079610 77.760390,20.079610 77.759610))",Synthetic SVAMITVA Demo Dataset,2026-04-02,Synthetic - Not Government Verified,No,Completed,Available,Yes,Yes,2024-06-24,Yes,2024-07-07,Yes,Yes,77.75961,20.07961,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,2024-06-19
SVPC-MH-0006072,MH-DEMO-00024,SV-08-10-0072,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 02,Rohit Deshpande,Rahul Verma,Individual,83.8,Residential Abadi,Prepared,2024-07-27,,Completed,2024-06-15,Received,Received,Received,Under Processing,"POLYGON((20.079570 77.759570,20.080430 77.759570,20.080430 77.760430,20.079570 77.760430,20.079570 77.759570))",Synthetic SVAMITVA Demo Dataset,2026-04-03,Synthetic - Not Government Verified,Yes,Completed,Pending,Yes,No,,Not Applicable,,Yes,Yes,77.75957,20.07957,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-06-22
SVPC-MH-0006073,MH-DEMO-00025,SV-08-10-0073,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 03,Sunita Mhatre,Tanmay Wagh,Individual,86.7,Mixed Residential,Distributed,2024-07-31,,Completed,2024-06-18,Received,Received,Received,Digitised,"POLYGON((20.079530 77.759530,20.080470 77.759530,20.080470 77.760470,20.079530 77.760470,20.079530 77.759530))",Synthetic SVAMITVA Demo Dataset,2026-04-04,Synthetic - Not Government Verified,Yes,In Progress,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75953,20.07953,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0006074,MH-DEMO-00026,SV-08-10-0074,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 04,Vinod Pawar,Ashok Patil,Individual,89.6,Institutional,Under Verification,2024-08-04,,Completed,2024-06-21,Received,Received,Available,Digitised,"POLYGON((20.079490 77.759490,20.080510 77.759490,20.080510 77.760510,20.079490 77.760510,20.079490 77.759490))",Synthetic SVAMITVA Demo Dataset,2026-04-05,Synthetic - Not Government Verified,Yes,Pending,Available,No,No,,Not Applicable,,No,Yes,77.75949,20.07949,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,
SVPC-MH-0006075,MH-DEMO-00027,SV-08-10-0075,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 05,Anjali Mane,Priya Kamble,Individual,27.5,Commercial,Digitisation Completed,2024-06-24,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((20.079650 77.759650,20.080350 77.759650,20.080350 77.760350,20.079650 77.760350,20.079650 77.759650))",Synthetic SVAMITVA Demo Dataset,2026-04-06,Synthetic - Not Government Verified,No,Completed,Available,Yes,No,,Not Applicable,,Yes,No,77.75965,20.07965,Yes,No,No,In Progress,No,No,Yes,No,Pending,2024-07-01
SVPC-MH-0006076,MH-DEMO-00028,SV-08-10-0076,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 06,Mahesh Tiwari,Swati Gaikwad,Individual,30.4,Open Plot,Prepared,2024-06-28,,Completed,2024-06-27,Received,Received,Received,Digitised,"POLYGON((20.079610 77.759610,20.080390 77.759610,20.080390 77.760390,20.079610 77.760390,20.079610 77.759610))",Synthetic SVAMITVA Demo Dataset,2026-04-07,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,No,Yes,77.75961,20.07961,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-07-04
SVPC-MH-0006077,MH-DEMO-00029,SV-08-10-0077,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 07,Prakash Chavan,Arjun Borkar,Individual,33.3,Other Abadi Property,Distributed,2024-07-02,,Completed,2024-06-30,Received,Received,Received,Digitised,"POLYGON((20.079570 77.759570,20.080430 77.759570,20.080430 77.760430,20.079570 77.760430,20.079570 77.759570))",Synthetic SVAMITVA Demo Dataset,2026-04-08,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75957,20.07957,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-07-07
SVPC-MH-0006078,MH-DEMO-00030,SV-08-10-0078,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 08,Sanjay Kamble,Prakash Kadam,Individual,36.2,Residential Abadi,Under Verification,2024-07-06,,Completed,2024-07-03,Received,Received,Available,Under Processing,"POLYGON((20.079530 77.759530,20.080470 77.759530,20.080470 77.760470,20.079530 77.760470,20.079530 77.759530))",Synthetic SVAMITVA Demo Dataset,2026-04-09,Synthetic - Not Government Verified,Yes,In Progress,Pending,No,No,,Not Applicable,,No,Yes,77.75953,20.07953,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,
SVPC-MH-0006079,MH-DEMO-00031,SV-08-10-0079,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 09,Swati Kharat,Suresh Tiwari,Individual,39.1,Mixed Residential,Digitisation Completed,2024-07-10,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((20.079490 77.759490,20.080510 77.759490,20.080510 77.760510,20.079490 77.760510,20.079490 77.759490))",Synthetic SVAMITVA Demo Dataset,2026-04-10,Synthetic - Not Government Verified,No,Pending,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75949,20.07949,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,
SVPC-MH-0006080,MH-DEMO-00032,SV-08-10-0080,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 10,Aarav Kulkarni,Anjali Thakur,Individual,42.0,Institutional,Prepared,2024-07-14,,Completed,2024-07-09,Received,Received,Received,Digitised,"POLYGON((20.079650 77.759650,20.080350 77.759650,20.080350 77.760350,20.079650 77.760350,20.079650 77.759650))",Synthetic SVAMITVA Demo Dataset,2026-04-11,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,No,77.75965,20.07965,Yes,Yes,Yes,Completed,Yes,Yes,Yes,No,Completed,2024-07-16
SVPC-MH-0006081,MH-DEMO-00033,SV-08-10-0081,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 01,Ashok Kale,Pooja Deshmukh,Individual,44.9,Commercial,Distributed,2024-07-18,,Completed,2024-07-12,Received,Received,Received,Digitised,"POLYGON((20.079610 77.759610,20.080390 77.759610,20.080390 77.760390,20.079610 77.760390,20.079610 77.759610))",Synthetic SVAMITVA Demo Dataset,2026-04-12,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75961,20.07961,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-07-19
SVPC-MH-0006082,MH-DEMO-00034,SV-08-10-0082,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 02,Meena Jadhav,Sunita Gawande,Individual,47.8,Open Plot,Under Verification,2024-07-22,,Completed,2024-07-15,Received,Received,Available,Digitised,"POLYGON((20.079570 77.759570,20.080430 77.759570,20.080430 77.760430,20.079570 77.760430,20.079570 77.759570))",Synthetic SVAMITVA Demo Dataset,2026-04-13,Synthetic - Not Government Verified,Yes,Completed,Available,No,No,,Not Applicable,,No,Yes,77.75957,20.07957,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,2024-07-22
SVPC-MH-0006083,MH-DEMO-00035,SV-08-10-0083,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 03,Rahul Thakur,Aniket Pawar,Individual,50.7,Other Abadi Property,Digitisation Completed,2024-07-26,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((20.079530 77.759530,20.080470 77.759530,20.080470 77.760470,20.079530 77.760470,20.079530 77.759530))",Synthetic SVAMITVA Demo Dataset,2026-04-14,Synthetic - Not Government Verified,No,In Progress,Available,Yes,No,,Not Applicable,,No,Yes,77.75953,20.07953,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,
SVPC-MH-0006084,MH-DEMO-00036,SV-08-10-0084,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 04,Shivam Salve,Nikhil Kale,Individual,53.6,Residential Abadi,Prepared,2024-07-30,,Completed,2024-07-21,Received,Received,Received,Under Processing,"POLYGON((20.079490 77.759490,20.080510 77.759490,20.080510 77.760510,20.079490 77.760510,20.079490 77.759490))",Synthetic SVAMITVA Demo Dataset,2026-04-15,Synthetic - Not Government Verified,Yes,Pending,Pending,Yes,Yes,2024-08-02,No,,Yes,Yes,77.75949,20.07949,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0006085,MH-DEMO-00037,SV-08-10-0085,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 05,Vaishnavi Gaikwad,Sonal Bhosale,Individual,56.5,Mixed Residential,Distributed,2024-08-03,,Completed,2024-07-24,Received,Received,Received,Digitised,"POLYGON((20.079650 77.759650,20.080350 77.759650,20.080350 77.760350,20.079650 77.760350,20.079650 77.759650))",Synthetic SVAMITVA Demo Dataset,2026-04-16,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,No,77.75965,20.07965,Yes,Yes,Yes,Completed,Yes,Yes,Yes,No,Completed,2024-07-31
SVPC-MH-0006086,MH-DEMO-00038,SV-08-10-0086,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 06,Akash Sawant,Amit Yadav,Individual,59.4,Institutional,Under Verification,2024-08-07,,Completed,2024-07-27,Received,Received,Available,Digitised,"POLYGON((20.079610 77.759610,20.080390 77.759610,20.080390 77.760390,20.079610 77.760390,20.079610 77.759610))",Synthetic SVAMITVA Demo Dataset,2026-04-17,Synthetic - Not Government Verified,Yes,Completed,Available,No,No,,Not Applicable,,No,Yes,77.75961,20.07961,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,2024-08-03
SVPC-MH-0006087,MH-DEMO-00039,SV-08-10-0087,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 07,Dhananjay Verma,Nandini Deshpande,Individual,62.3,Commercial,Digitisation Completed,2024-08-11,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((20.079570 77.759570,20.080430 77.759570,20.080430 77.760430,20.079570 77.760430,20.079570 77.759570))",Synthetic SVAMITVA Demo Dataset,2026-04-18,Synthetic - Not Government Verified,No,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75957,20.07957,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,2024-08-06
SVPC-MH-0006088,MH-DEMO-00040,SV-08-10-0088,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 08,Nandini Bhosale,Sneha Kharat,Individual,65.2,Open Plot,Prepared,2024-08-15,,Completed,2024-08-02,Received,Received,Received,Digitised,"POLYGON((20.079530 77.759530,20.080470 77.759530,20.080470 77.760470,20.079530 77.760470,20.079530 77.759530))",Synthetic SVAMITVA Demo Dataset,2026-04-19,Synthetic - Not Government Verified,Yes,In Progress,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75953,20.07953,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0006089,MH-DEMO-00041,SV-08-10-0089,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 09,Ramesh Dhole,Akash Sawant,Individual,68.1,Other Abadi Property,Distributed,2024-08-19,,Completed,2024-08-05,Received,Received,Received,Digitised,"POLYGON((20.079490 77.759490,20.080510 77.759490,20.080510 77.760510,20.079490 77.760510,20.079490 77.759490))",Synthetic SVAMITVA Demo Dataset,2026-04-20,Synthetic - Not Government Verified,Yes,Pending,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75949,20.07949,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0006090,MH-DEMO-00042,SV-08-10-0090,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 10,Sonal Deshmukh,Mohan Shinde,Individual,71.0,Residential Abadi,Under Verification,2024-08-23,,Completed,2024-08-08,Received,Received,Available,Under Processing,"POLYGON((20.079650 77.759650,20.080350 77.759650,20.080350 77.760350,20.079650 77.760350,20.079650 77.759650))",Synthetic SVAMITVA Demo Dataset,2026-04-21,Synthetic - Not Government Verified,Yes,Completed,Pending,No,No,,Not Applicable,,No,No,77.75965,20.07965,Yes,Yes,Yes,Completed,Yes,Yes,No,No,Completed,2024-08-15
SVPC-MH-0006091,MH-DEMO-00043,SV-08-10-0091,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 01,Vikas Joshi,Shivam Ingale,Individual,73.9,Mixed Residential,Digitisation Completed,2024-08-27,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((20.079610 77.759610,20.080390 77.759610,20.080390 77.760390,20.079610 77.760390,20.079610 77.759610))",Synthetic SVAMITVA Demo Dataset,2026-04-22,Synthetic - Not Government Verified,No,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75961,20.07961,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,2024-08-18
SVPC-MH-0006092,MH-DEMO-00044,SV-08-10-0092,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 02,Aniket Borkar,Aditi Chavan,Individual,76.8,Institutional,Prepared,2024-08-31,,Completed,2024-08-14,Received,Received,Received,Digitised,"POLYGON((20.079570 77.759570,20.080430 77.759570,20.080430 77.760430,20.079570 77.760430,20.079570 77.759570))",Synthetic SVAMITVA Demo Dataset,2026-04-23,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75957,20.07957,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-08-21
SVPC-MH-0006093,MH-DEMO-00045,SV-08-10-0093,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 03,Kiran Shinde,Meena Salve,Individual,79.7,Commercial,Distributed,2024-09-04,,Completed,2024-08-17,Received,Received,Received,Digitised,"POLYGON((20.079530 77.759530,20.080470 77.759530,20.080470 77.760470,20.079530 77.760470,20.079530 77.759530))",Synthetic SVAMITVA Demo Dataset,2026-04-24,Synthetic - Not Government Verified,Yes,In Progress,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75953,20.07953,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,
SVPC-MH-0006094,MH-DEMO-00046,SV-08-10-0094,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 04,Pooja Wagh,Seema Joshi,Individual,82.6,Open Plot,Under Verification,2024-09-08,,Completed,2024-08-20,Received,Received,Available,Digitised,"POLYGON((20.079490 77.759490,20.080510 77.759490,20.080510 77.760510,20.079490 77.760510,20.079490 77.759490))",Synthetic SVAMITVA Demo Dataset,2026-04-25,Synthetic - Not Government Verified,Yes,Pending,Available,No,No,,Not Applicable,,No,Yes,77.75949,20.07949,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,
SVPC-MH-0006095,MH-DEMO-00047,SV-08-10-0095,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 05,Sachin Yadav,Aarav Raut,Individual,85.5,Other Abadi Property,Digitisation Completed,2024-09-12,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((20.079650 77.759650,20.080350 77.759650,20.080350 77.760350,20.079650 77.760350,20.079650 77.759650))",Synthetic SVAMITVA Demo Dataset,2026-04-26,Synthetic - Not Government Verified,No,Completed,Available,Yes,No,,Not Applicable,,Yes,No,77.75965,20.07965,Yes,No,No,In Progress,No,No,Yes,No,Pending,2024-08-30
SVPC-MH-0006096,MH-DEMO-00048,SV-08-10-0096,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 06,Suresh More,Manish Mane,Individual,88.4,Residential Abadi,Prepared,2024-09-16,,Completed,2024-08-26,Received,Received,Received,Under Processing,"POLYGON((20.079610 77.759610,20.080390 77.759610,20.080390 77.760390,20.079610 77.760390,20.079610 77.759610))",Synthetic SVAMITVA Demo Dataset,2026-04-27,Synthetic - Not Government Verified,Yes,Completed,Pending,Yes,No,,Not Applicable,,Yes,Yes,77.75961,20.07961,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-09-02
SVPC-MH-0006097,MH-DEMO-00049,SV-08-10-0097,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 07,Vivek Gawande,Sanjay Jadhav,Individual,26.3,Mixed Residential,Distributed,2024-09-20,,Completed,2024-08-29,Received,Received,Received,Digitised,"POLYGON((20.079570 77.759570,20.080430 77.759570,20.080430 77.760430,20.079570 77.760430,20.079570 77.759570))",Synthetic SVAMITVA Demo Dataset,2026-04-28,Synthetic - Not Government Verified,Yes,Completed,Available,Yes,Yes,2024-09-10,Yes,2024-09-23,No,Yes,77.75957,20.07957,Yes,Yes,Yes,Completed,Yes,Yes,Yes,Yes,Completed,2024-09-05
SVPC-MH-0006098,MH-DEMO-00050,SV-08-10-0098,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 08,Arjun Raut,Vivek Dhole,Individual,29.2,Institutional,Under Verification,2024-09-24,,Completed,2024-09-01,Received,Received,Available,Digitised,"POLYGON((20.079530 77.759530,20.080470 77.759530,20.080470 77.760470,20.079530 77.760470,20.079530 77.759530))",Synthetic SVAMITVA Demo Dataset,2026-04-29,Synthetic - Not Government Verified,Yes,In Progress,Available,No,No,,Not Applicable,,No,Yes,77.75953,20.07953,Yes,Yes,Yes,Completed,Yes,Yes,No,Yes,Completed,
SVPC-MH-0006099,MH-DEMO-00051,SV-08-10-0099,Maharashtra,Kolhapur,Gadhinglaj,Demo Village 09,Manish Kadam,Mahesh More,Individual,32.1,Commercial,Digitisation Completed,2024-09-28,,Pending,,Processing,Processing,Processing,Digitised,"POLYGON((20.079490 77.759490,20.080510 77.759490,20.080510 77.760510,20.079490 77.760510,20.079490 77.759490))",Synthetic SVAMITVA Demo Dataset,2026-04-30,Synthetic - Not Government Verified,No,Pending,Available,Yes,No,,Not Applicable,,Yes,Yes,77.75949,20.07949,Yes,No,No,In Progress,No,No,Yes,Yes,Pending,
